antes,desp
18.0,13.8
27.2,27.1
23.7,23.1
21.6,22.7
14.5,14.6
14.5,15.1
12.9,9.9
25.9,22.1
21.6,21.9
23.3,24.0
12.3,14.3
27.5,25.4
25.3,22.9
15.4,15.8
14.9,12.3
14.9,16.4
16.9,17.9
20.4,18.4
18.9,19.2
16.7,16.9
21.8,17.5
14.2,15.5
16.7,15.2
17.9,18.6
19.3,16.5
24.6,25.8
15.2,12.9
20.2,15.3
21.5,22.8
12.7,8.4
21.7,19.0
14.7,16.4
13.0,14.7
27.2,26.2
27.5,26.9
24.9,23.1
16.9,13.9
13.6,10.9
22.9,22.7
19.0,19.3
14.0,14.5
19.9,20.5
12.6,8.2
26.5,25.0
16.1,11.5
22.6,21.4
17.0,15.1
20.3,21.5
20.7,18.2
15.0,10.8
27.5,23.5
24.4,24.7
27.0,26.4
26.3,22.0
21.6,17.2
26.7,26.7
13.4,8.9
15.1,15.9
12.7,12.7
17.2,12.8
18.2,13.8
16.3,18.2
25.3,22.9
17.7,15.3
16.5,17.2
20.7,22.3
14.3,16.2
24.8,25.1
13.2,10.8
27.8,23.4
24.4,24.8
15.2,14.1
12.1,10.1
25.0,26.4
23.3,19.1
23.7,22.1
24.3,19.4
13.2,11.5
17.7,13.1
13.9,9.7
25.8,21.6
22.0,21.5
17.3,17.5
13.0,12.1
17.0,18.7
17.2,14.8
23.7,20.7
22.2,23.3
26.2,22.8
19.6,21.3
13.9,9.0
23.4,25.2
24.2,19.5
21.0,22.2
24.3,23.0
19.9,21.9
20.4,15.9
18.8,17.7
12.4,14.2
13.7,12.4
12.5,11.9
22.2,22.1
17.0,15.2
20.1,19.5
26.5,25.6
16.0,17.3
18.6,13.9
24.1,21.1
15.7,17.3
13.2,14.5
16.6,14.8
14.6,13.9
26.9,23.8
24.9,21.2
22.1,20.4
25.9,23.4
24.9,23.9
15.0,10.5
26.3,28.1
20.6,22.5
24.9,24.8
26.3,25.1
17.1,14.3
13.8,14.5
15.6,15.4
18.8,15.0
25.1,26.5
25.8,26.5
12.1,13.8
20.2,20.3
18.7,18.0
15.6,13.5
13.9,15.4
17.4,18.5
27.1,22.4
17.2,12.4
20.3,17.9
23.2,23.9
17.8,19.7
27.5,23.6
27.4,26.6
16.0,13.7
20.0,21.7
16.8,17.7
16.6,17.4
12.6,10.9
21.8,19.7
20.0,17.0
12.8,8.2
16.5,17.5
26.5,27.2
15.8,17.8
14.3,16.3
19.8,18.7
27.8,28.2
15.9,17.5
22.8,23.7
24.2,20.9
15.8,14.0
23.7,19.6
17.9,19.6
22.1,21.4
22.1,18.7
20.6,20.3
13.4,12.8
25.4,22.9
17.1,12.9
15.0,14.7
12.7,11.3
21.5,21.9
22.8,21.5
12.3,13.2
20.2,19.1
15.6,14.6
22.3,23.5
14.8,12.6
23.1,19.0
18.2,13.4
27.0,27.3
14.2,13.5
17.5,17.4
13.8,10.3
26.8,22.7
26.0,21.1
16.1,13.6
22.6,21.7
25.1,22.8
20.9,18.9
20.5,21.8
15.9,13.3
13.5,12.1
26.4,26.8
26.4,24.2
22.1,21.5
17.4,18.5
17.6,19.2
23.6,19.6
26.4,27.8
26.2,24.6
24.5,21.3
22.3,20.5
13.3,15.2
14.6,13.0
26.4,23.7
21.7,21.1
12.1,8.8
13.6,9.2
22.6,18.5
12.1,8.0
14.6,10.6
20.8,16.8
23.1,22.6
22.4,18.7
15.6,13.0
23.4,24.7
15.8,14.1
17.2,16.9
23.9,20.2
22.4,18.7
25.6,20.9
