A,B,C
17.4,44.1,28.9
19.1,48.6,25.1
13.7,47.3,33.3
21.2,47.5,24.4
20.4,47.4,28.0
22.2,46.5,28.4
13.8,46.3,34.6
15.6,50.0,23.1
14.5,46.7,34.2
14.1,47.4,28.4
18.6,52.8,34.2
16.7,52.4,30.2
17.7,38.9,27.1
16.1,38.5,24.8
13.0,44.1,25.8
18.7,50.9,29.5
21.8,37.3,27.8
12.2,46.5,26.3
13.8,47.6,33.7
13.9,38.8,22.2
20.0,48.8,32.1
12.6,49.8,29.2
13.4,48.4,34.1
19.2,46.4,30.8
20.7,48.0,33.8
19.7,47.2,33.5
14.3,43.2,23.6
20.2,38.3,30.7
22.5,44.2,26.3
17.0,41.7,26.4
20.3,48.4,28.9
18.3,49.4,29.7
16.5,42.1,32.2
17.8,44.9,22.9
17.1,43.9,28.4
17.9,44.9,34.0
18.6,41.5,33.5
21.7,39.7,32.3
15.8,49.8,32.3
16.1,46.6,34.0
21.5,51.1,26.1
16.3,44.8,22.7
20.9,44.9,29.7
21.9,50.1,34.4
19.2,44.0,28.4
17.7,39.6,26.9
16.2,36.9,30.7
20.0,50.5,25.1
20.0,42.6,34.1
20.9,40.4,24.2
14.3,46.7,30.8
12.6,51.0,25.6
14.0,45.6,33.7
13.8,45.7,22.8
20.0,39.0,28.6
22.9,38.3,23.2
12.4,41.4,27.2
12.2,49.5,33.0
16.8,38.7,25.1
12.6,40.1,22.7
19.2,48.7,26.6
12.1,43.4,28.2
12.5,53.0,26.0
15.9,42.4,34.5
14.5,52.6,29.8
19.6,40.0,34.3
15.0,53.0,27.4
13.7,47.1,30.0
18.9,45.2,31.8
15.1,42.8,23.1
18.2,48.2,28.1
15.6,41.7,34.7
13.8,51.2,32.2
14.0,38.5,28.0
17.7,41.2,26.2
14.2,53.5,30.8
16.7,47.9,25.0
15.3,43.2,32.9
20.0,41.7,34.5
19.7,42.5,30.8
16.7,46.3,27.4
13.2,48.7,29.8
19.3,49.7,32.7
17.6,49.8,25.2
14.7,48.6,24.1
19.3,42.7,32.7
15.6,41.8,23.3
21.8,44.9,33.1
18.7,45.6,23.7
14.9,39.8,30.6
16.5,49.3,30.2
21.3,50.0,22.7
13.2,47.9,26.9
17.4,40.8,26.2
12.8,45.6,22.4
17.2,50.3,28.7
18.0,41.6,24.0
14.4,46.6,34.8
15.4,40.9,32.8
15.7,50.3,31.3
12.8,52.0,30.5
20.9,50.4,31.1
17.7,45.7,26.4
19.8,39.7,33.9
14.4,51.4,23.3
13.9,40.3,28.9
18.7,40.9,30.4
20.7,42.0,34.7
20.2,37.6,21.8
17.9,50.6,28.5
20.3,37.1,31.9
16.3,48.8,24.7
17.5,44.5,32.3
21.0,52.5,23.4
21.5,37.3,21.8
22.4,49.4,31.0
16.3,45.7,25.6
18.0,47.4,27.6
16.2,44.8,26.9
17.8,44.4,23.7
13.3,37.6,31.1
21.0,41.0,26.1
22.3,44.2,33.3
12.3,48.1,24.2
18.3,40.6,27.3
19.3,48.8,24.9
15.3,41.7,33.0
22.4,42.7,23.2
12.8,49.5,26.1
18.1,45.5,31.6
17.5,42.8,33.4
20.2,37.6,24.1
13.0,40.1,32.9
22.7,51.8,25.8
18.9,39.4,29.4
22.7,45.6,24.0
12.6,50.1,31.8
16.9,53.5,22.8
20.6,42.3,30.2
19.2,39.3,28.6
18.8,45.7,28.3
14.7,45.4,30.0
21.2,39.5,32.7
21.8,50.2,30.8
19.4,44.8,27.0
12.3,41.5,30.0
18.8,46.2,34.4
14.4,50.5,30.1
14.6,37.3,28.5
16.5,51.1,29.0
19.6,46.5,26.5
18.8,39.3,29.3
18.4,36.9,34.1
12.7,37.4,28.6
21.9,41.8,32.3
21.0,37.6,29.2
19.2,46.0,31.5
16.9,41.2,24.7
19.2,39.4,30.6
22.5,44.3,29.1
22.5,38.1,29.6
16.9,47.8,27.9
14.6,52.4,30.5
22.3,37.3,23.9
21.0,49.9,25.5
18.8,48.7,28.3
14.4,43.0,25.6
16.0,48.8,26.0
14.4,37.8,34.0
16.0,49.7,32.9
12.4,43.5,32.0
18.3,49.4,23.5
