tiempo_sesion,compras
11.5,49.2
9.6,20.1
11.9,48.2
14.6,131.0
9.3,21.1
9.3,25.8
14.7,138.4
12.3,60.0
8.6,13.3
11.6,40.7
8.6,15.4
8.6,21.9
10.7,36.8
4.3,-2.1
4.8,5.9
8.3,17.9
7.0,5.8
10.9,39.2
7.3,11.6
5.8,1.1
14.4,123.2
9.3,25.2
10.2,35.4
5.7,12.0
8.4,9.4
10.3,26.6
6.5,11.4
11.1,43.4
8.2,17.9
9.1,40.2
8.2,18.2
15.6,184.4
10.0,32.4
6.8,13.0
12.5,62.2
6.3,12.1
10.6,30.7
4.1,2.8
6.0,5.0
10.6,34.5
12.2,70.2
10.5,23.9
9.7,28.4
9.1,12.7
5.6,4.0
7.8,19.1
8.6,18.0
13.2,75.3
11.0,35.9
4.7,8.2
11.0,35.1
8.8,20.2
8.0,14.5
11.8,48.4
13.1,89.3
12.8,74.3
7.5,2.0
9.1,21.5
11.0,35.7
12.9,78.6
8.6,13.4
9.4,22.7
6.7,11.8
6.4,12.8
12.4,57.2
14.1,107.1
9.8,23.7
13.0,73.2
11.1,49.1
8.1,16.7
11.1,33.9
14.6,135.1
9.9,37.7
14.7,139.2
2.1,-5.6
12.5,61.3
10.3,36.9
9.1,17.2
10.3,32.9
4.0,7.7
9.3,17.9
11.1,39.8
14.4,106.7
8.4,11.6
7.6,11.2
8.5,10.7
12.7,78.2
11.0,31.8
8.4,14.3
11.5,47.5
10.3,38.1
12.9,66.7
7.9,19.7
9.0,20.3
8.8,14.0
5.6,8.8
10.9,38.7
10.8,33.4
10.0,28.5
9.3,20.2
5.8,7.4
8.7,21.7
9.0,27.8
7.6,6.4
9.5,34.5
11.2,32.2
15.7,184.1
10.5,36.3
10.8,37.7
9.8,22.9
4.2,3.1
9.9,24.8
10.2,26.8
17.4,333.4
9.4,24.9
10.9,34.4
9.9,31.6
6.5,10.2
13.4,92.0
12.3,62.6
12.4,57.7
7.3,8.5
14.2,117.7
5.8,10.0
11.8,50.3
16.6,251.2
7.0,16.8
8.3,13.0
10.3,33.7
8.5,15.9
5.3,4.9
10.2,35.5
6.8,13.8
11.4,49.1
7.2,17.7
14.6,132.2
7.7,16.2
9.0,18.8
12.4,64.9
6.3,7.5
10.7,35.7
13.9,106.6
5.2,1.5
10.6,44.2
10.8,31.3
12.3,55.2
6.3,13.9
6.0,11.4
11.6,50.4
10.9,40.9
10.8,35.9
11.0,35.2
8.0,14.6
10.7,32.0
10.9,42.5
7.9,13.0
15.6,177.0
11.4,43.4
6.4,10.6
12.0,51.2
7.1,6.5
12.4,62.8
13.5,90.5
7.5,9.8
12.9,71.1
11.2,43.5
12.5,56.5
15.7,179.8
9.3,18.3
7.7,12.1
7.3,13.1
7.6,19.8
9.8,30.2
11.0,38.6
10.8,36.9
12.5,59.1
10.0,28.3
14.4,118.5
9.2,23.1
18.2,421.5
12.0,5000.0
13.0,7000.0
11.0,4500.0
